degradeReadReplicas, filename /tmp262144replicas.dat, loop 1000
/tmp262144replicas.dat is a ReplicasFile!
starting benchmark...
Loop 434 (us) 49.033
Loop 435 (us) 48.586
Loop 436 (us) 50.188
Loop 437 (us) 48.587
Loop 438 (us) 48.817
Loop 439 (us) 48.908
Loop 440 (us) 48.721
Loop 441 (us) 48.591
Loop 442 (us) 48.787
Loop 443 (us) 48.953
Loop 444 (us) 48.372
Loop 445 (us) 49.563
Loop 446 (us) 49.023
Loop 447 (us) 48.385
Loop 448 (us) 48.564
Loop 449 (us) 59.183
Loop 450 (us) 60.011
Loop 451 (us) 55.311
Loop 452 (us) 50.076
Loop 453 (us) 49.51
Loop 454 (us) 48.953
Loop 455 (us) 49.669
Loop 456 (us) 48.994
Loop 457 (us) 48.726
Loop 458 (us) 48.77
Loop 459 (us) 49.583
Loop 460 (us) 49.982
Loop 461 (us) 48.85
Loop 462 (us) 48.85
Loop 463 (us) 48.952
Loop 464 (us) 48.347
Loop 465 (us) 48.65
Loop 466 (us) 49.12
Loop 467 (us) 48.879
Loop 468 (us) 48.903
Loop 469 (us) 49.151
Loop 470 (us) 49.051
Loop 471 (us) 48.619
Loop 472 (us) 49.284
Loop 473 (us) 49.361
Loop 474 (us) 48.345
Loop 475 (us) 48.551
Loop 476 (us) 49.441
Loop 477 (us) 48.756
Loop 478 (us) 48.743
Loop 479 (us) 48.548
Loop 480 (us) 48.684
Loop 481 (us) 48.734
Loop 482 (us) 48.582
Loop 483 (us) 48.85
Loop 484 (us) 48.703
Loop 485 (us) 48.945
Loop 486 (us) 48.942
Loop 487 (us) 48.745
Loop 488 (us) 48.683
Loop 489 (us) 48.974
Loop 490 (us) 49.233
Loop 491 (us) 48.856
Loop 492 (us) 48.468
Loop 493 (us) 49.098
Loop 494 (us) 48.663
Loop 495 (us) 48.62
Loop 496 (us) 48.771
Loop 497 (us) 48.938
Loop 498 (us) 48.853
Loop 499 (us) 48.495
Loop 500 (us) 48.606
Loop 501 (us) 48.708
Loop 502 (us) 49.406
Loop 503 (us) 48.464
Loop 504 (us) 48.231
Loop 505 (us) 48.549
Loop 506 (us) 48.901
Loop 507 (us) 48.422
Loop 508 (us) 49.124
Loop 509 (us) 48.71
Loop 510 (us) 48.767
Loop 511 (us) 48.059
Loop 512 (us) 48.736
Loop 513 (us) 49.288
Loop 514 (us) 48.807
Loop 515 (us) 48.756
Loop 516 (us) 48.2
Loop 517 (us) 48.883
Loop 518 (us) 48.121
Loop 519 (us) 48.48
Loop 520 (us) 48.854
Loop 521 (us) 48.755
Loop 522 (us) 49.681
Loop 523 (us) 48.969
Loop 524 (us) 48.868
Loop 525 (us) 48.42
Loop 526 (us) 48.462
Loop 527 (us) 48.741
Loop 528 (us) 48.622
Loop 529 (us) 48.444
Loop 530 (us) 48.517
Loop 531 (us) 48.701
Loop 532 (us) 48.557
Loop 533 (us) 48.573
Loop 534 (us) 48.832
Loop 535 (us) 57.839
Loop 536 (us) 49.696
Loop 537 (us) 55.076
Loop 538 (us) 50.286
Loop 539 (us) 48.948
Loop 540 (us) 48.726
Loop 541 (us) 48.61
Loop 542 (us) 48.579
Loop 543 (us) 48.513
Loop 544 (us) 54.268
