No,Size,Type,IsDegradeRead,replicas,nativeec,hydra,microec,NativeecTimes,HydraTimes,MicroecTimes,,,
6201,2060,GET,TRUE,6.029,14.311,18.01,13.084,2.37,2.99,2.17,,,
7835,2060,GET,FALSE,5.028,12.267,15.198,10.481,2.44,3.02,2.08,,,
1685,2060,GET,FALSE,4.692,15.354,10.248,7.828,3.27,2.18,1.67,,,
5503,2060,GET,FALSE,5.181,16.004,13.697,9.749,3.09,2.64,1.88,,,
2179,2060,PUT,FALSE,27.057,94.125,47.981,35.979,3.48,1.77,1.33,,,
955,2060,GET,FALSE,6.124,27.514,16.146,9.893,4.49,2.64,1.62,,,
2595,2060,GET,FALSE,4.327,18.32,17.666,8.9,4.23,4.08,2.06,,,
10430,2060,GET,FALSE,5.196,30.291,14.303,9.383,5.83,2.75,1.81,,,
5280,2060,GET,FALSE,4.992,16.16,15.418,9.197,3.24,3.09,1.84,,,
5245,2060,GET,FALSE,5.67,16.227,17.703,9.545,2.86,3.12,1.68,,,
1819,2060,PUT,FALSE,8.887,26.737,25.82,22.015,3.01,2.91,2.48,,,
3389,2060,GET,FALSE,4.945,11.84,11.649,8.808,2.39,2.36,1.78,,,
1228,2060,GET,TRUE,4.914,19.296,16.303,12.217,3.93,3.32,2.49,,,
5787,2068,GET,FALSE,4.512,12.118,15.935,10.342,2.69,3.53,2.29,,,
1479,2112,GET,FALSE,5.594,17.828,20.007,11.36,3.19,3.58,2.03,,,
1541,2112,GET,TRUE,5.786,27.428,18.629,12.978,4.74,3.22,2.24,,,
7478,2112,GET,FALSE,6.71,19.949,17.589,10.247,2.97,2.62,1.53,,,
982,2112,GET,FALSE,4.776,19.903,13.735,9.431,4.17,2.88,1.97,,,
648,2112,GET,FALSE,4.765,18.492,13.301,8.311,3.88,2.79,1.74,,,
2137,2112,GET,FALSE,4.69,19.887,15.118,9.766,4.24,3.22,2.08,,,
