No,Size,Type,IsDegradeRead,replicas,nativeec,microec,NativeecTimes,MicroecTimes
2734,14663680,GET,FALSE,2251.87,2261.807,2254.397,1,1
1032,14663680,GET,TRUE,2255.927,4714.622,2861.059,2.09,1.27
7216,14843904,GET,TRUE,2364.066,5367.081,2483.585,2.27,1.05
9160,14991360,GET,FALSE,2302.31,2308.054,2302.863,1,1
619,15024128,GET,TRUE,2324.308,4936.644,2763.927,2.12,1.19
7677,15040512,GET,FALSE,2345.476,2337.005,2312.206,1,0.99
4752,15056896,GET,FALSE,2331.984,2317.706,2313.901,0.99,0.99
8834,15056896,GET,TRUE,2312.406,4965.462,3084.455,2.15,1.33
3544,15056896,GET,TRUE,2314.29,5142.058,2610.882,2.22,1.13
6500,15237120,GET,TRUE,2345.61,4978.059,2813.746,2.12,1.2
6499,15237120,GET,FALSE,2342.774,2344.76,2340.2,1,1
6498,15237120,GET,FALSE,2340.546,2349.084,2342.203,1,1
6321,15237120,PUT,FALSE,7758.638,8317.215,4839.616,1.07,0.62
4199,15253504,GET,FALSE,2342.564,2344.24,2342.4,1,1
196,15269888,GET,TRUE,2347.717,5225.497,3215.41,2.23,1.37
6589,15319040,GET,FALSE,2363.352,2369.572,2355.061,1,1
10532,15351808,GET,TRUE,2357.868,4599.245,2543.134,1.95,1.08
10554,15351808,GET,FALSE,2358.346,2363.393,2358.908,1,1
1772,15368192,PUT,FALSE,7366.853,8538.379,4613.114,1.16,0.63
10880,15368192,GET,FALSE,2359.931,2369.92,2368.525,1,1
1727,15368192,GET,TRUE,2360.072,5582.247,3188.291,2.37,1.35
9765,15433728,GET,TRUE,2371.178,4685.277,3112.112,1.98,1.31
278,15548416,GET,TRUE,2942.162,5587.405,2688.74,1.9,0.91
1523,15548416,GET,TRUE,2388.962,5322.318,3156.324,2.23,1.32
2966,15548416,GET,FALSE,2389.917,2399.029,2388.296,1,1
430,15548416,GET,TRUE,2389.551,5368.366,2820.31,2.25,1.18
930,15548416,GET,FALSE,2391.071,2405.291,2387.415,1.01,1
610,15548416,GET,TRUE,2391.571,5424.825,3087.423,2.27,1.29
1869,15548416,GET,TRUE,2389.683,5308.918,3065.615,2.22,1.28
1617,15548416,GET,FALSE,2387.645,2399.04,2392.047,1,1
23,15548416,GET,FALSE,2388.381,2396.524,2388.139,1,1
2927,15548416,GET,FALSE,2387.906,2397.413,2387.769,1,1
2154,15548416,GET,TRUE,2387.28,5619.119,2984.1,2.35,1.25
1249,15548416,GET,FALSE,2390.304,2400.942,2388.326,1,1
7443,15695872,GET,TRUE,2423.824,5215.903,2990.603,2.15,1.23
4859,15695872,GET,TRUE,2410.412,4564.547,3138.902,1.89,1.3
6683,15695872,GET,FALSE,2413.102,2433.074,2422.076,1.01,1
4143,15777792,GET,FALSE,2475.692,2449.551,2435.741,0.99,0.98
10664,15777792,GET,FALSE,2423.181,2423.918,2423.909,1,1
7470,15777792,GET,TRUE,2475.824,5287.19,3091.038,2.14,1.25
8221,15826944,GET,TRUE,2431.374,5606.412,3033.529,2.31,1.25
8389,15974400,GET,TRUE,2453.32,4388.457,2663.622,1.79,1.09
4349,16089088,GET,FALSE,2469.748,2506.214,2478.462,1.01,1
7107,16121856,GET,FALSE,2475.829,2494.756,2481.623,1.01,1
366,16154624,GET,TRUE,2494.844,5741.998,2707.298,2.3,1.09
1118,16187392,GET,TRUE,2487.674,5187,3119.569,2.09,1.25
3029,16187392,GET,TRUE,2486.827,5469.255,3520.056,2.2,1.42
251,16187392,GET,FALSE,2488.344,2504.093,2495.186,1.01,1
237,16187392,GET,FALSE,2485.919,2491.626,2511.103,1,1.01
549,16187392,GET,TRUE,2487.156,5657.641,2617.101,2.27,1.05
1798,16187392,GET,FALSE,2488.527,2487.901,2497.863,1,1
2789,16187392,GET,FALSE,2485.16,2502.029,2496.042,1.01,1
1372,16187392,GET,TRUE,2485.793,5351.93,3210.752,2.15,1.29
2453,16187392,GET,FALSE,2485.186,2517.743,2496.246,1.01,1
1552,16187392,GET,FALSE,2487.846,2506.811,2497.804,1.01,1
1796,16187392,GET,FALSE,2484.835,2488.848,2485.905,1,1
901,16187392,GET,FALSE,2486.977,2504.63,2496.515,1.01,1
1266,16187392,GET,TRUE,2485.092,5760.545,2730.799,2.32,1.1
3031,16187392,GET,FALSE,2484.947,2503.913,2499.333,1.01,1.01
10730,16187392,GET,FALSE,2485.037,2487.785,2486.383,1,1
1903,16187392,GET,FALSE,2485.98,2490.807,2498.807,1,1.01
2873,16187392,GET,FALSE,2485.034,2488.395,2497.728,1,1.01
2684,16187392,GET,FALSE,2485.392,2507.38,2496.417,1.01,1
1094,16187392,GET,FALSE,2485.322,2504.606,2498.519,1.01,1.01
1651,16187392,GET,TRUE,3044.753,5802.28,2754.749,1.91,0.9
2713,16187392,GET,FALSE,2485.163,2504.806,2498.44,1.01,1.01
552,16187392,GET,FALSE,2485.881,2491.563,2501.717,1,1.01
394,16187392,GET,FALSE,2485.318,2506.131,2509.176,1.01,1.01
93,16187392,GET,FALSE,2488.149,2500.531,2496.531,1,1
21,16187392,GET,TRUE,3048.134,5012.605,2722.961,1.64,0.89
830,16187392,GET,TRUE,2484.097,4779.234,2730.323,1.92,1.1
6271,16351232,GET,TRUE,2510.595,5662.593,2915.17,2.26,1.16
4151,16384000,GET,FALSE,2515.274,2516.215,2514.331,1,1
8775,16416768,GET,FALSE,2521.654,2535.308,2537.236,1.01,1.01
9571,16482304,GET,TRUE,2543.836,5712.921,3297.597,2.25,1.3
5372,16482304,GET,TRUE,2604.153,5753.349,2927.105,2.21,1.12
5779,16547840,GET,FALSE,2558.376,2550.589,2543.643,1,0.99
6155,16547840,GET,TRUE,2541.571,6132.476,3277.911,2.41,1.29
4476,16547840,GET,TRUE,2540.768,5576.445,3058.334,2.19,1.2
2099,16580608,GET,TRUE,2565.363,5567.495,2800.512,2.17,1.09
7566,16580608,GET,FALSE,2546.629,2549.092,2547.816,1,1
8090,16580608,GET,TRUE,2546.131,5543.35,3160.837,2.18,1.24
3287,16580608,GET,FALSE,2546.228,2565.698,2563.437,1.01,1.01
1990,16580608,GET,FALSE,2545.754,2550.413,2547.306,1,1
6921,16580608,PUT,FALSE,8449.654,8909.006,5193.699,1.05,0.61
3914,16580608,GET,FALSE,2559.545,2563.31,2546.788,1,1
3571,16580608,GET,FALSE,2559.252,2575.939,2564.531,1.01,1
3411,16580608,GET,FALSE,2545.539,2547.294,2545.705,1,1
6686,16580608,GET,FALSE,2547.035,2564.609,2562.871,1.01,1.01
4522,16580608,GET,TRUE,2563.868,4796.589,3283.371,1.87,1.28
5246,16580608,GET,TRUE,2597.921,5402.428,3277.097,2.08,1.26
7424,16629760,GET,FALSE,2634.859,2592.604,2571.314,0.98,0.98
10546,16629760,GET,FALSE,2553.894,2555.377,2564.526,1,1
10455,16629760,GET,FALSE,2553.676,2573.607,2563.055,1.01,1
9809,16629760,GET,FALSE,2583.536,2555.335,2554.755,0.99,0.99
8328,16629760,GET,TRUE,2555.491,6100.256,2861.798,2.39,1.12
8644,16629760,GET,TRUE,2572.708,5186.765,3376.118,2.02,1.31
8975,16646144,GET,FALSE,2556.196,2567.136,2557.144,1,1
10436,16728064,GET,FALSE,2578.182,2580.036,2569.325,1,1
6176,16760832,GET,FALSE,2575.155,2579.707,2573.476,1,1
5757,16760832,GET,FALSE,2579.393,2595.512,2587.673,1.01,1
4194,16760832,GET,FALSE,2572.193,2587.965,2575.553,1.01,1
7867,16891904,GET,TRUE,2593.463,5071.219,3341.183,1.96,1.29
8098,16891904,GET,TRUE,2611.196,5993.277,3252.212,2.3,1.25
7481,16957440,GET,TRUE,2617.217,5690.415,2875.543,2.17,1.1
3594,16973824,GET,TRUE,2605.881,6082.692,3337.781,2.33,1.28
10929,16973824,GET,TRUE,2604.971,5056.339,2896.946,1.94,1.11
7512,16973824,GET,TRUE,2629.271,5491.9,3146.81,2.09,1.2
6934,16973824,GET,FALSE,2622.175,2626.042,2611.685,1,1
1863,17121280,GET,TRUE,2659.277,5506.812,3355.074,2.07,1.26
9028,17416192,GET,TRUE,2689.694,7567.253,2959.291,2.81,1.1
5292,17481728,GET,FALSE,2698.601,2689.549,2686.936,1,1
7916,17481728,GET,TRUE,2700.314,5831.705,3227.627,2.16,1.2
7489,17481728,GET,FALSE,2685.257,2688.745,2683.971,1,1
8015,17727488,GET,FALSE,2776.582,2722.917,2721.231,0.98,0.98
4249,17727488,GET,TRUE,2742.417,5392.425,2916.573,1.97,1.06
7818,17727488,GET,TRUE,2721.648,6088.017,2982.927,2.24,1.1
3399,17727488,GET,FALSE,2721.435,2721.483,2720.42,1,1
8169,17727488,GET,FALSE,2735.169,2724.883,2722.71,1,1
151,17743872,GET,FALSE,2723.432,2737.787,2725.228,1.01,1
4022,17743872,GET,FALSE,2765.096,2726.142,2722.937,0.99,0.98
600,17743872,GET,FALSE,2727.338,2727.183,2726.343,1,1
2490,17743872,GET,TRUE,2740.962,6293.693,3237.605,2.3,1.18
4972,17743872,GET,TRUE,2742.954,5801.643,2961.905,2.12,1.08
881,17743872,GET,TRUE,2724.104,5480.71,3452.548,2.01,1.27
6322,17743872,GET,FALSE,2745.545,2731.097,2742.791,0.99,1
283,17743872,GET,TRUE,2741.645,5974.424,3478.36,2.18,1.27
77,17743872,GET,FALSE,2723.967,2742.352,2732.786,1.01,1
10267,17743872,GET,FALSE,2724.911,2727.92,2724.273,1,1
10116,17743872,GET,TRUE,2738.174,6280.976,3250.887,2.29,1.19
2224,17743872,GET,FALSE,2724.52,2736.322,2748.438,1,1.01
5304,17743872,GET,FALSE,2742.857,2730.247,2745.439,1,1
2638,17743872,GET,FALSE,2741.493,2750.537,2724.815,1,0.99
9255,17743872,GET,TRUE,2723.84,6129.582,2972.695,2.25,1.09
5191,17743872,GET,TRUE,2723.352,5643.928,2976.776,2.07,1.09
7280,17743872,GET,FALSE,2740.821,2730.772,2746.05,1,1
2856,17743872,GET,FALSE,2724.003,2742.504,2735.883,1.01,1
9021,17793024,GET,TRUE,2733.616,5516.568,3517.679,2.02,1.29
10224,17809408,GET,FALSE,2751.1,2753.014,2736.366,1,0.99
2672,17924096,GET,TRUE,2752.429,6366.189,3062.048,2.31,1.11
7024,17956864,GET,FALSE,2776.675,2762.991,2757.973,1,0.99
5596,17956864,GET,TRUE,2756.264,5760.439,3496.834,2.09,1.27
6297,18055168,GET,FALSE,2794.938,2773.408,2770.69,0.99,0.99
9773,18137088,GET,FALSE,2785.613,2796.138,2785.195,1,1
8425,18202624,GET,TRUE,2809.122,6326.777,3383.543,2.25,1.2
