Size,Type,IsDegradeRead,NativeecTimes,HydraTimes,MicroecTimes
1576,GET,False,4.62,2.77,1.7
1576,GET,False,3.48,2.57,2.13
1576,GET,False,4.97,3.29,2.29
1576,PUT,False,3.05,3.32,2.03
1576,GET,False,3.23,2.63,2.29
1576,GET,False,2.36,2.84,2.47
1576,GET,False,3.31,3.15,1.9
1576,GET,True,5.35,3.87,2.46
1576,GET,False,4.35,1.95,1.52
1576,GET,False,3.42,2.11,1.25
1576,GET,False,2.63,2.59,1.76
1576,GET,False,3.34,2.76,2.31
1576,GET,False,3.85,3.33,2.57
1576,GET,False,2.98,3.06,2.15
1576,GET,False,4.17,3.39,1.97
1576,GET,False,3.43,4.09,1.95
1576,GET,True,3.4,2.71,2.28
1576,GET,False,4.89,2.95,1.79
1576,GET,False,4.34,4.14,1.93
1576,GET,False,3.1,2.57,2.38
1576,GET,False,5.0,2.86,2.67
1576,GET,False,6.49,2.61,1.59
1576,GET,True,4.15,3.79,2.61
1576,GET,True,3.23,3.6,2.53
1576,GET,False,4.69,3.43,1.92
1576,GET,False,1.94,2.42,1.65
1576,GET,False,2.21,2.75,2.19
1584,GET,False,5.69,3.62,2.2
1584,GET,False,3.38,3.77,2.63
1584,GET,True,4.44,3.56,2.09
1584,GET,False,3.16,2.28,2.15
1584,GET,False,3.49,4.01,2.39
1584,GET,False,3.52,2.81,2.14
1584,GET,False,3.49,2.87,2.19
1584,GET,False,4.87,3.05,2.05
1584,GET,False,2.36,3.25,1.66
1584,GET,False,5.16,4.07,2.66
1584,GET,False,4.66,3.05,1.76
1584,GET,False,2.37,3.02,1.68
1584,GET,True,3.33,3.75,2.4
1584,GET,False,3.77,4.11,2.58
1584,GET,False,3.62,3.21,1.7
1584,GET,False,6.6,3.09,2.46
1584,GET,True,6.89,3.63,2.46
1584,GET,False,2.87,3.47,2.16
1584,GET,False,3.26,2.79,2.14
1584,GET,True,4.55,3.45,2.17
1584,GET,False,3.19,3.08,2.02
1584,GET,False,3.74,2.77,2.24
1584,GET,False,4.38,4.02,1.95
1584,GET,False,4.16,3.65,2.5
1584,GET,False,4.16,2.8,1.95
1604,GET,False,3.39,3.38,1.59
1608,GET,True,3.58,2.97,2.57
1620,GET,False,4.61,2.93,2.0
1624,GET,False,1.74,1.43,0.71
1624,GET,False,4.82,3.24,2.39
1664,GET,False,4.64,2.69,1.75
1664,GET,True,3.64,2.92,2.2
1672,GET,True,4.16,3.17,2.61
1672,PUT,False,4.14,3.8,2.41
1672,GET,True,4.53,3.23,2.35
1712,GET,False,3.97,3.59,2.05
1716,PUT,False,2.4,2.05,1.52
1720,GET,True,5.17,3.84,2.47
1720,PUT,False,4.04,3.35,2.45
1720,PUT,False,3.4,3.57,1.7
1720,PUT,False,2.13,1.66,0.78
1720,PUT,False,2.87,2.36,1.48
1720,GET,True,4.32,3.4,2.56
1724,PUT,False,3.65,3.63,1.68
1724,PUT,False,3.47,2.96,2.44
1724,GET,True,5.68,3.88,2.37
