No,Size,Type,IsDegradeRead,replicas,nativeec,hydra,microec
231,1720,PUT,false,42.541,90.631,70.424,33.141
232,3024,GET,false,6.203,21.487,17.913,9.541
233,1116,GET,false,4.816,20.568,16.015,9.183
234,3342336,GET,true,517.802,1220.285,801.299,609.942
235,10320,PUT,false,20.629,82.398,72.365,31.511
236,1916928,GET,false,350.393,303.259,301.389,303.974
237,16187392,GET,false,2485.919,2491.626,2503.643,2511.103
238,2310144,GET,false,359.676,362.153,362.54,359.588
239,12156,GET,false,8.071,22.299,17.228,9.754
240,88768512,GET,true,13621.006,31014.348,41281.045,19257.937
241,12156,GET,true,8.524,81.822,50.003,16.329
242,6720,PUT,false,19.318,77.523,91.741,28.807
243,12284,GET,true,7.699,29.408,33.315,14.611
244,4392,GET,false,5.95,17.363,13.182,9.057
245,589824,GET,true,108.032,187.749,156.745,144.782
246,16384,GET,false,9.676,29.062,16.019,10.264
247,32768,GET,true,10.73,32.067,24.136,18.715
248,1720,GET,true,4.83,24.987,18.536,11.939
249,182452224,GET,false,27951.434,28008.153,27953.987,27951.401
250,16384,GET,true,9.083,26.647,24.49,14.487
251,16187392,GET,false,2488.344,2504.093,2489.91,2495.186
252,2628,GET,false,5.748,13.561,16.127,8.987
253,2632,GET,true,5.268,18.728,22.14,15.865
254,12284,GET,false,6.566,11.86,14.545,8.163
255,11500,GET,true,7.073,20.717,18.543,13.942
256,9388032,GET,false,1444.169,1462.297,1445.646,1453.126
257,10272768,GET,false,1580.163,1589.156,1580.73,1592.642
258,10272768,GET,false,1578.423,1581.133,1579.618,1582.202
259,2628,GET,true,5.171,19.351,16.759,13.051
260,2420,GET,false,5.397,13.062,12.028,7.925
261,2420,GET,false,5.206,13.32,13.549,8.287
262,6000,GET,false,6.62,13.353,13.12,8.59
263,4833280,GET,false,747.755,747.45,746.818,745.756
264,3768320,GET,false,583.555,583.41,584.186,582.563
265,1040,GET,false,3.823,9.289,10.603,6.459
266,4088,GET,false,5.873,12.974,11.992,8.61
267,6728,PUT,false,18.841,40.736,74.978,28.742
268,2804,GET,true,6.253,19.632,17.122,13.032
269,357416960,GET,true,54764.211,120617.384,102158.341,75287.116
270,2420,GET,false,7.347,41.304,32.447,7.315
271,1780,PUT,false,18.749,90.312,78.519,29.793
272,12156,GET,true,8.505,27.125,26.108,16.164
273,2340,GET,true,5.216,19.025,20.568,12.609
274,1152,GET,true,4.34,17.087,17.402,12.285
275,2628,GET,false,4.776,13.262,16.012,8.767
