readReplicas, filename /tmp16777216replicas.dat, loop 1000
/tmp16777216replicas.dat is a ReplicasFile!
starting benchmark...
Loop 394 (us) 2575.601
Loop 395 (us) 2574.42
Loop 396 (us) 2574.497
Loop 397 (us) 2575.655
Loop 398 (us) 2574.343
Loop 399 (us) 2575.472
Loop 400 (us) 2574.297
Loop 401 (us) 2574.949
Loop 402 (us) 2575.418
Loop 403 (us) 2575.787
Loop 404 (us) 2575.55
Loop 405 (us) 2574.299
Loop 406 (us) 2575.437
Loop 407 (us) 2585.689
Loop 408 (us) 2577.354
Loop 409 (us) 2574.517
Loop 410 (us) 2575.596
Loop 411 (us) 2575.409
Loop 412 (us) 2574.333
Loop 413 (us) 2575.939
Loop 414 (us) 2574.149
Loop 415 (us) 2574.533
Loop 416 (us) 2574.433
Loop 417 (us) 2574.301
Loop 418 (us) 2575.579
Loop 419 (us) 2574.29
Loop 420 (us) 2575.569
Loop 421 (us) 2575.566
Loop 422 (us) 2575.276
Loop 423 (us) 2575.911
Loop 424 (us) 2574.401
Loop 425 (us) 2575.528
Loop 426 (us) 2575.539
Loop 427 (us) 2575.284
Loop 428 (us) 2575.233
Loop 429 (us) 2575.605
Loop 430 (us) 2575.606
Loop 431 (us) 2575.446
Loop 432 (us) 2575.067
Loop 433 (us) 2575.569
Loop 434 (us) 2575.169
Loop 435 (us) 2575.3
Loop 436 (us) 2575.593
Loop 437 (us) 2574.463
Loop 438 (us) 2575.504
Loop 439 (us) 2574.812
Loop 440 (us) 2575.558
Loop 441 (us) 2575.184
Loop 442 (us) 2574.402
Loop 443 (us) 2574.48
Loop 444 (us) 2575.427
Loop 445 (us) 2574.304
Loop 446 (us) 2575.486
Loop 447 (us) 2575.363
Loop 448 (us) 2575.269
Loop 449 (us) 2574.842
Loop 450 (us) 2576.157
Loop 451 (us) 2575.689
Loop 452 (us) 2575.233
Loop 453 (us) 2575.752
Loop 454 (us) 2574.317
Loop 455 (us) 2574.303
Loop 456 (us) 2574.542
Loop 457 (us) 2575.504
Loop 458 (us) 2575.333
Loop 459 (us) 2574.448
Loop 460 (us) 2575.368
Loop 461 (us) 2574.974
Loop 462 (us) 2575.557
Loop 463 (us) 2574.511
Loop 464 (us) 2574.777
Loop 465 (us) 2575.551
Loop 466 (us) 2574.672
Loop 467 (us) 2574.339
Loop 468 (us) 2575.418
Loop 469 (us) 2574.381
Loop 470 (us) 2575.504
Loop 471 (us) 2575.428
Loop 472 (us) 2575.509
Loop 473 (us) 2574.819
Loop 474 (us) 2574.529
Loop 475 (us) 2574.447
Loop 476 (us) 2575.729
Loop 477 (us) 2575.605
Loop 478 (us) 2575.768
Loop 479 (us) 2575.43
Loop 480 (us) 2575.446
Loop 481 (us) 2575.512
Loop 482 (us) 2575.56
Loop 483 (us) 2574.235
Loop 484 (us) 2575.502
Loop 485 (us) 2574.516
Loop 486 (us) 2574.556
Loop 487 (us) 2575.539
Loop 488 (us) 2574.667
Loop 489 (us) 2574.369
Loop 490 (us) 2575.882
Loop 491 (us) 2574.817
Loop 492 (us) 2574.326
Loop 493 (us) 2574.812
Loop 494 (us) 2574.464
Loop 495 (us) 2575.823
Loop 496 (us) 2575.444
Loop 497 (us) 2574.326
Loop 498 (us) 2838.911
Loop 499 (us) 2575.689
Loop 500 (us) 2575.584
Loop 501 (us) 2574.266
Loop 502 (us) 2575.517
Loop 503 (us) 2574.877
Loop 504 (us) 2574.43
Loop 505 (us) 2574.554
Loop 506 (us) 2575.636
Loop 507 (us) 2574.476
Loop 508 (us) 2574.43
Loop 509 (us) 2575.507
Loop 510 (us) 2574.436
Loop 511 (us) 2575.195
Loop 512 (us) 2574.239
Loop 513 (us) 2575.449
Loop 514 (us) 2576.038
Loop 515 (us) 2575.489
Loop 516 (us) 2574.338
Loop 517 (us) 2574.31
Loop 518 (us) 2575.492
Loop 519 (us) 2575.57
Loop 520 (us) 2574.426
Loop 521 (us) 2574.787
Loop 522 (us) 2574.302
Loop 523 (us) 2575.621
Loop 524 (us) 2575.448
Loop 525 (us) 2574.395
Loop 526 (us) 2574.729
Loop 527 (us) 2574.571
Loop 528 (us) 2575.387
Loop 529 (us) 2575.868
Loop 530 (us) 2574.183
Loop 531 (us) 2575.722
Loop 532 (us) 2574.342
Loop 533 (us) 2574.905
Loop 534 (us) 2574.48
Loop 535 (us) 2574.274
Loop 536 (us) 2574.355
Loop 537 (us) 2574.498
Loop 538 (us) 2575.455
Loop 539 (us) 2574.285
Loop 540 (us) 2575.372
Loop 541 (us) 2575.487
Loop 542 (us) 2575.434
Loop 543 (us) 2575.525
Loop 544 (us) 2575.537
Loop 545 (us) 2575.3
Loop 546 (us) 2575.119
Loop 547 (us) 2574.312
Loop 548 (us) 2575.673
Loop 549 (us) 2574.68
Loop 550 (us) 2574.798
Loop 551 (us) 2574.365
Loop 552 (us) 2574.888
Loop 553 (us) 2574.393
Loop 554 (us) 2574.669
