No,Size,Type,IsDegradeRead,replicas,nativeec,microec,NativeecTimes,MicroecTimes
10216,1132,GET,True,4.038,17.535,28.347,4.34,7.02
9495,1132,GET,True,4.036,23.003,14.158,5.7,3.51
5030,1132,GET,True,4.63,59.894,18.707,12.94,4.04
6415,1132,GET,True,4.747,22.23,15.748,4.68,3.32
7817,1132,GET,True,3.868,24.896,14.183,6.44,3.67
6999,1132,GET,True,4.031,49.322,15.929,12.24,3.95
9158,1132,PUT,False,12.283,52.785,24.44,4.3,1.99
3525,1132,GET,True,4.59,23.847,17.969,5.2,3.91
8406,1132,GET,True,4.568,18.022,12.844,3.95,2.81
10523,1132,GET,True,4.598,24.367,15.017,5.3,3.27
10544,1132,GET,True,3.848,18.777,12.978,4.88,3.37
10915,1132,GET,True,4.661,40.499,14.627,8.69,3.14
5629,1132,GET,True,4.497,48.062,20.905,10.69,4.65
10208,1136,GET,True,4.375,23.923,14.471,5.47,3.31
7491,1144,GET,True,4.606,36.711,15.747,7.97,3.42
8697,1144,PUT,False,10.473,90.898,66.129,8.68,6.31
10232,1144,GET,True,4.516,45.184,14.931,10.01,3.31
9666,1148,GET,True,4.953,32.235,22.174,6.51,4.48
