recoveryReplicas, filename /tmp4194304replicas.dat, loop 1000
/tmp4194304replicas.dat is a ReplicasFile!
starting benchmark...
Loop 685 (us) 1939.13
Loop 686 (us) 1939.663
Loop 687 (us) 1940.023
Loop 688 (us) 1939.192
Loop 689 (us) 1939.067
Loop 690 (us) 1939.133
Loop 691 (us) 1939.072
Loop 692 (us) 1939.931
Loop 693 (us) 1939.032
Loop 694 (us) 1939.017
Loop 695 (us) 1939.436
Loop 696 (us) 1939.787
Loop 697 (us) 1939.772
Loop 698 (us) 1939.988
Loop 699 (us) 1939.049
Loop 700 (us) 1939.76
Loop 701 (us) 1939.499
Loop 702 (us) 1939.352
Loop 703 (us) 1939.39
Loop 704 (us) 1940.199
Loop 705 (us) 1939.503
Loop 706 (us) 1939.805
Loop 707 (us) 1939.505
Loop 708 (us) 1939.184
Loop 709 (us) 1939.398
Loop 710 (us) 1939.461
Loop 711 (us) 1939.496
Loop 712 (us) 1939.617
Loop 713 (us) 1940.153
Loop 714 (us) 1939.86
Loop 715 (us) 1939.651
Loop 716 (us) 1939.22
Loop 717 (us) 1940.31
Loop 718 (us) 1939.398
Loop 719 (us) 1939.308
Loop 720 (us) 1940.369
Loop 721 (us) 1939.331
Loop 722 (us) 1940.94
Loop 723 (us) 1939.12
Loop 724 (us) 1939.895
Loop 725 (us) 1940.34
Loop 726 (us) 1939.164
Loop 727 (us) 1939.789
Loop 728 (us) 1939.851
Loop 729 (us) 1939.882
Loop 730 (us) 1939.967
Loop 731 (us) 1939.709
Loop 732 (us) 1939.373
Loop 733 (us) 1939.324
Loop 734 (us) 1939.932
Loop 735 (us) 1939.94
Loop 736 (us) 1939.758
Loop 737 (us) 1939.331
Loop 738 (us) 1939.519
Loop 739 (us) 1939.375
Loop 740 (us) 1940.067
Loop 741 (us) 1939.738
Loop 742 (us) 1940.101
Loop 743 (us) 1940.372
Loop 744 (us) 1939.641
Loop 745 (us) 1939.291
Loop 746 (us) 1940.195
Loop 747 (us) 1940.362
Loop 748 (us) 1939.733
Loop 749 (us) 1939.248
Loop 750 (us) 1939.083
Loop 751 (us) 1939.191
Loop 752 (us) 1939.554
Loop 753 (us) 1940.355
Loop 754 (us) 1939.426
Loop 755 (us) 1940.729
Loop 756 (us) 1939.499
Loop 757 (us) 1939.702
Loop 758 (us) 1939.604
Loop 759 (us) 1939.068
Loop 760 (us) 1938.819
Loop 761 (us) 1939.427
Loop 762 (us) 1939.696
Loop 763 (us) 1941.096
Loop 764 (us) 1939.339
Loop 765 (us) 1939.522
Loop 766 (us) 1940.363
Loop 767 (us) 1940.083
Loop 768 (us) 1940.829
Loop 769 (us) 1939.34
Loop 770 (us) 1939.374
Loop 771 (us) 1938.93
