writeMicroEC_CodingDescent, filename /tmp65536microec.dat, size 65536, loop 1000, storageClass 0, locationClass 0, monECSubStripeNum 4
CrailConstants.REPLICATION_FACTOR has changed to 5
MicroEC Coding Ready

networkSizeArray [8192, 12288, 16384]
starting benchmark...
replicas primary file /tmp65536microec.dat capacity 0
replicas slave file /tmp65536microec.datLQL0 capacity 0
replicas slave file /tmp65536microec.datLQL1 capacity 0
replicas slave file /tmp65536microec.datLQL2 capacity 0
replicas slave file /tmp65536microec.datLQL3 capacity 0
replicas slave file /tmp65536microec.datLQL4 capacity 0
CrailConstants.REPLICATION_FACTOR has changed to 5
Loop 595 (us) 46.862
Loop 596 (us) 51.636
Loop 597 (us) 46.397
Loop 598 (us) 46.748
Loop 599 (us) 46.569
Loop 600 (us) 47.553
Loop 601 (us) 47.544
Loop 602 (us) 46.467
Loop 603 (us) 46.868
Loop 604 (us) 46.39
Loop 605 (us) 47.292
Loop 606 (us) 97.817
Loop 607 (us) 49.027
Loop 608 (us) 46.461
Loop 609 (us) 44.932
Loop 610 (us) 45.605
Loop 611 (us) 46.889
Loop 612 (us) 45.376
Loop 613 (us) 45.066
Loop 614 (us) 46.393
Loop 615 (us) 46.17
Loop 616 (us) 45.444
Loop 617 (us) 47.46
Loop 618 (us) 45.504
Loop 619 (us) 45.77
Loop 620 (us) 45.258
Loop 621 (us) 46.215
Loop 622 (us) 44.899
Loop 623 (us) 44.935
Loop 624 (us) 50.573
Loop 625 (us) 45.502
Loop 626 (us) 46.315
Loop 627 (us) 46.922
Loop 628 (us) 46.304
Loop 629 (us) 46.964
Loop 630 (us) 45.781
Loop 631 (us) 45.248
Loop 632 (us) 45.745
Loop 633 (us) 51.316
Loop 634 (us) 46.279
Loop 635 (us) 45.264
Loop 636 (us) 43.331
Loop 637 (us) 42.594
Loop 638 (us) 42.886
Loop 639 (us) 43.63
Loop 640 (us) 43.584
Loop 641 (us) 42.871
Loop 642 (us) 44.123
Loop 643 (us) 45.213
Loop 644 (us) 42.005
Loop 645 (us) 42.476
Loop 646 (us) 41.858
Loop 647 (us) 42.055
Loop 648 (us) 42.812
Loop 649 (us) 78.978
Loop 650 (us) 52.38
Loop 651 (us) 48.993
Loop 652 (us) 49.877
Loop 653 (us) 48.321
Loop 654 (us) 48.667
Loop 655 (us) 49.934
Loop 656 (us) 113.929
Loop 657 (us) 51.261
Loop 658 (us) 48.018
Loop 659 (us) 46.376
Loop 660 (us) 45.368
Loop 661 (us) 47.315
Loop 662 (us) 46.376
Loop 663 (us) 46.392
Loop 664 (us) 49.241
Loop 665 (us) 43.905
Loop 666 (us) 43.93
Loop 667 (us) 43.468
Loop 668 (us) 45.22
Loop 669 (us) 45.923
Loop 670 (us) 45.758
Loop 671 (us) 45.535
Loop 672 (us) 51.368
Loop 673 (us) 44.633
Loop 674 (us) 43.361
Loop 675 (us) 44.648
Loop 676 (us) 44.342
Loop 677 (us) 45.646
Loop 678 (us) 46.051
Loop 679 (us) 44.849
Loop 680 (us) 44.085
Loop 681 (us) 42.3
Loop 682 (us) 42.388
Loop 683 (us) 43.722
Loop 684 (us) 43.169
Loop 685 (us) 47.29
Loop 686 (us) 44.06
Loop 687 (us) 45.415
Loop 688 (us) 43.598
Loop 689 (us) 44.385
Loop 690 (us) 42.819
Loop 691 (us) 44.418
Loop 692 (us) 42.98
Loop 693 (us) 43.793
Loop 694 (us) 43.427
Loop 695 (us) 42.421
Loop 696 (us) 42.818
Loop 697 (us) 42.85
