No,Size,Type,IsDegradeRead,replicas,nativeec,hydra,microec
418,163840,GET,true,33.684,75.439,47.454,93.533
419,2628,GET,false,4.671,24.026,19.625,57.723
420,2600,GET,true,5.084,38.243,21.51,51.283
421,63848448,GET,false,9804.523,9788.311,9792.144,9788.566
422,129925120,GET,true,19920.421,45644.868,36928.761,25676.427
423,1160,GET,true,5.013,93.297,43.438,30.602
424,16384,GET,false,8.356,16.892,24.729,16.021
425,1256,GET,false,4.143,13.393,15.688,11.534
426,12284,GET,false,7.155,11.999,17.851,12.409
427,46891008,GET,true,7205.349,13853.532,13846.805,10108.281
428,83918848,GET,true,12861.277,28544.66,23878.04,36305.713
429,12392,GET,false,7.43,38.276,40.752,20.419
430,950272,GET,false,169.106,153.927,155.612,153.093
431,92979200,GET,true,14265.397,30735.002,26572.049,31258.237
432,2632,GET,false,5.403,41.468,32.389,13.571
433,150093824,GET,false,23010.969,23036.125,23004.349,22995.129
434,4684,GET,true,6.641,62.519,36.663,24.399
435,42336256,GET,true,6498.041,14445.793,12178.242,9359.833
436,52477952,GET,true,8043.187,15978.697,15050.797,10654.761
437,6580,GET,false,6.846,28.165,29.327,11.577
438,12156,GET,true,8.606,53.424,35.273,20.117
439,109051904,GET,true,16709.46,40221.717,31582.583,19585.563
440,16384,GET,false,8.968,48.108,31.227,16.42
441,16384,GET,true,7.977,76.24,36.361,29.831
442,2344,GET,false,5.416,23.535,18.282,11.312
443,10862592,GET,false,1669.988,1685.313,1682.921,1672.668
444,2584,GET,false,6.58,16.236,19.705,15.27
445,1520,GET,false,5.123,16.06,14.757,11.681
446,671744,GET,false,123.994,110.349,111.26,109.599
447,16629760,GET,true,2572.708,5186.765,4608.612,3376.118
448,770048,GET,false,142.202,129.553,128.001,125.042
449,1212416,GET,true,202.899,397.177,292.54,249.057
450,1988,GET,false,4.936,22.916,17.966,12.91
451,35487744,GET,false,5462.315,5467.815,5453.33,5450.917
452,2628,GET,true,5.187,40.115,35.203,16.424
453,4580,GET,true,5.41,27.584,21.823,14.887
454,7536640,GET,true,1175.917,2289.845,1776.234,1429.456
455,2310144,GET,false,360.414,364.61,363.758,360.532
456,3220,GET,false,6.263,22.912,23.388,9.778
457,10196,GET,true,6.486,39.808,25.057,18.168
458,1232,GET,true,4.229,28.587,18.333,14.431
459,3024,GET,false,5.019,18.761,23.854,10.472
460,1064960,GET,false,190.167,170.19,169.772,168.802
461,3940,GET,false,5.635,16.483,14.65,11.078
